sale_date,location,age,gender,household_income,flavor,units_sold,unit_price_usd,revenue_usd,profit_margin_pct,profit_usd,month,season_mult,price_adj_loc
2026-01-20,France,44,Female,49000.0,Vanilla,3,4.04,10.91,14.19,1.55,1,0.9,0.15
2025-04-25,UK,36,Female,19600.0,Hazelnut,4,3.64,14.56,16.28,2.37,4,1.0,0.2
2025-03-11,UK,47,Non-binary,38400.0,Coffee,3,3.85,11.55,12.24,1.41,3,1.0,0.2
2025-07-17,UK,59,Male,22800.0,Hazelnut,1,3.64,4.37,16.22,0.71,7,1.2,0.2
2025-07-02,Netherlands,34,Female,18100.0,Hazelnut,3,3.54,12.74,16.32,2.08,7,1.2,0.1
2025-06-21,UK,34,Male,44600.0,Pistachio,1,4.08,4.9,12.88,0.63,6,1.2,0.2
2025-05-09,France,60,Female,64800.0,Mint,3,3.96,13.07,14.24,1.86,5,1.1,0.15
2025-04-20,USA,48,Male,30000.0,Pistachio,3,4.18,12.54,12.89,1.62,4,1.0,0.3
2026-02-08,France,31,Female,32700.0,Chocolate,4,3.77,13.57,13.35,1.81,2,0.9,0.15
2025-12-03,USA,45,Female,20600.0,Coffee,3,3.95,10.66,12.27,1.31,12,0.9,0.3
2025-04-12,Italy,31,Male,36400.0,Coffee,1,3.7,3.7,12.33,0.46,4,1.0,0.05
2025-12-26,Germany,31,Male,53100.0,Berry,5,3.88,17.46,14.05,2.45,12,0.9,0.1
2025-10-01,Italy,41,Male,53900.0,Cookies & Cream,1,3.13,2.82,13.0,0.37,10,0.9,0.05
2025-03-15,Italy,18,Female,47700.0,Pistachio,1,3.93,3.93,12.89,0.51,3,1.0,0.05
2025-03-14,Australia,18,Male,26700.0,Berry,1,4.03,4.03,14.02,0.57,3,1.0,0.25
2025-04-15,Germany,30,Female,26200.0,Chocolate,3,3.72,11.16,13.35,1.49,4,1.0,0.1
2025-06-18,Netherlands,23,Female,54100.0,Stracciatella,3,3.72,13.39,15.27,2.04,6,1.2,0.1
2025-06-26,Canada,42,Male,54500.0,Chocolate,6,3.87,27.86,13.35,3.72,6,1.2,0.25
2025-11-12,Spain,25,Female,33300.0,Vanilla,1,3.94,3.55,14.29,0.51,11,0.9,0.05
2026-01-01,Germany,18,Female,29300.0,Coffee,1,3.75,3.38,12.2,0.41,1,0.9,0.1
2025-03-12,Italy,58,Female,65100.0,Berry,1,3.83,3.83,14.02,0.54,3,1.0,0.05
2025-12-11,Australia,34,Female,30300.0,Salted Caramel,2,3.6,6.48,14.26,0.92,12,0.9,0.25
2025-06-08,Spain,38,Male,52700.0,Cookies & Cream,1,3.13,3.76,12.97,0.49,6,1.2,0.05
