index,Age_Group,Gender,Income_Bracket,Urban_Rural,Sales_USD,Profit_Margin,Profit_USD
0,<18,Male,Low,Urban,226902.21640052035,0.17073164614375075,38739.38891972639
1,<18,Male,Low,Rural,24804.90846025106,0.17068540492859485,4233.83584475468
2,<18,Male,Middle,Urban,6596.311629154479,0.1848392454313207,1219.2572641627594
3,<18,Male,Middle,Rural,721.1075710589274,0.14173439510684405,102.20574539100265
4,<18,Male,High,Urban,310808.10366822075,0.14550164334973933,45223.08985014226
5,<18,Male,High,Rural,33977.48458563208,0.16875424941518055,5733.844908264209
6,<18,Female,Low,Urban,3383696.019119079,0.15974337759331153,540523.0308431241
7,<18,Female,Low,Rural,369905.0249179152,0.18628494665190548,68907.7378331056
8,<18,Female,Middle,Urban,98367.98315376752,0.16183951848957578,15919.827028396438
9,<18,Female,Middle,Rural,10753.569781097676,0.15175392597329415,1631.89643250935
10,<18,Female,High,Urban,4634948.744774344,0.20931297537843108,970154.9124952424
11,<18,Female,High,Rural,506691.74217823765,0.17548447399026929,88916.53385136116
12,<18,Other,Low,Urban,2348241.1541690286,0.18135056409375847,425854.85793673183
13,<18,Other,Low,Rural,256709.29000067475,0.15150503627573086,38892.75029386934
14,<18,Other,Middle,Urban,68266.1045759127,0.16911234550949633,11544.641063629157
15,<18,Other,Middle,Rural,7462.8379652071,0.18221845179419732,1359.8667800109954
16,<18,Other,High,Urban,3216594.318297174,0.15698012845155393,504941.38926282886
17,<18,Other,High,Rural,351637.4977945877,0.18751396036691342,65936.93982497492
18,18-24,Male,Low,Urban,623953.9374703765,0.1679872262016239,104816.29123323005
19,18-24,Male,Low,Rural,68210.5293984709,0.17416612500413445,11879.963589812269
20,18-24,Male,Middle,Urban,18139.067476218497,0.16796586775541206,3046.7442089170117
21,18-24,Male,Middle,Rural,1982.9595119851163,0.21704556369017874,430.39256505361135
22,18-24,Male,High,Urban,854685.0848700769,0.17973005550524132,153612.59774320078
23,18-24,Male,High,Rural,93434.01588956686,0.158845781420882,14841.599265269353
24,18-24,Female,Low,Urban,9304759.062403526,0.19645089824206377,1827928.275735156
25,18-24,Female,Low,Rural,1017194.5450731242,0.15558312700057955,158258.30809040862
26,18-24,Female,Middle,Urban,270500.1801369452,0.1841772719000951,49819.98522610687
27,18-24,Female,Middle,Rural,29571.029817243165,0.1408065975224045,4163.79609379958
28,18-24,Female,High,Urban,12745554.297144797,0.15343627902203139,1955630.42542716
29,18-24,Female,High,Rural,1393341.6457147975,0.18393722471738247,256287.39539593025
30,18-24,Other,Low,Urban,6457382.1160364235,0.1947693315999082,1257699.998625615
31,18-24,Other,Low,Rural,705919.8223009441,0.1834273656237994,129485.0133462828
32,18-24,Other,Middle,Urban,187723.61690252542,0.17768703435223518,33356.052765284876
33,18-24,Other,Middle,Rural,20521.911186953494,0.17397792608821422,3570.359547672692
34,18-24,Other,High,Urban,8845249.385328436,0.15042956019265144,1330586.974829277
35,18-24,Other,High,Rural,966961.0319005268,0.16560311583210582,160131.7597709555
36,25-34,Male,Low,Urban,406498.8487968759,0.17078722458080425,69424.81018131043
37,25-34,Male,Low,Rural,44438.37919945861,0.2011424445243783,8938.444222880391
38,25-34,Male,Middle,Urban,11817.394850051323,0.18687236579136923,2208.344533119834
39,25-34,Male,Middle,Rural,1291.875426094309,0.1447391968927453,186.98501165836342
40,25-34,Male,High,Urban,556817.5504943284,0.1864816793878959,103836.27192883688
41,25-34,Male,High,Rural,60871.19195298155,0.17229835439167365,10488.006203358407
42,25-34,Female,Low,Urban,6061944.031531827,0.16646155999388082,1009080.660084383
43,25-34,Female,Low,Rural,662690.6038145133,0.19223352577681735,127391.3512704319
44,25-34,Female,Middle,Urban,176227.77134928538,0.20061999044991902,35354.813805104146
45,25-34,Female,Middle,Rural,19265.187470698733,0.19862560238232396,3826.559466375936
46,25-34,Female,High,Urban,8303582.745342345,0.16321564953554724,1355274.6512532132
47,25-34,Female,High,Rural,907746.1346907525,0.1738157524829757,157780.57746478575
48,25-34,Other,Low,Urban,4206910.540627791,0.18662526862807127,785115.8097389259
49,25-34,Other,Low,Rural,459898.6846234188,0.1995109025424472,91754.80164730255
