date,product,region,units_sold,price_per_unit,revenue,cost,profit,profit_margin,age_group,gender
2025-01-31,Good Humor Classic Bar,Northeast,65,2.73,177.45,119.37,58.08,0.3273,<18,Male
2025-01-31,Good Humor Classic Bar,Northeast,3,2.73,8.19,5.51,2.68,0.3273,<18,Female
2025-01-31,Good Humor Classic Bar,Northeast,87,2.73,237.51,159.78,77.73,0.3273,<18,Non-binary
2025-01-31,Good Humor Classic Bar,Northeast,196,2.73,535.08,359.96,175.12,0.3273,<18,Prefer not to say
2025-01-31,Good Humor Classic Bar,Northeast,66,2.73,180.18,121.21,58.97,0.3273,18-34,Male
2025-01-31,Good Humor Classic Bar,Northeast,3,2.73,8.19,5.51,2.68,0.3273,18-34,Female
2025-01-31,Good Humor Classic Bar,Northeast,89,2.73,242.97,163.45,79.52,0.3273,18-34,Non-binary
2025-01-31,Good Humor Classic Bar,Northeast,200,2.73,546.0,367.31,178.69,0.3273,18-34,Prefer not to say
2025-01-31,Good Humor Classic Bar,Northeast,78,2.73,212.94,143.25,69.69,0.3273,35-54,Male
2025-01-31,Good Humor Classic Bar,Northeast,4,2.73,10.92,7.35,3.57,0.3273,35-54,Female
2025-01-31,Good Humor Classic Bar,Northeast,105,2.73,286.65,192.84,93.81,0.3273,35-54,Non-binary
2025-01-31,Good Humor Classic Bar,Northeast,237,2.73,647.01,435.26,211.75,0.3273,35-54,Prefer not to say
2025-01-31,Good Humor Classic Bar,Northeast,41,2.73,111.93,75.3,36.63,0.3273,55+,Male
2025-01-31,Good Humor Classic Bar,Northeast,2,2.73,5.46,3.67,1.79,0.3273,55+,Female
2025-01-31,Good Humor Classic Bar,Northeast,55,2.73,150.15,101.01,49.14,0.3273,55+,Non-binary
2025-01-31,Good Humor Classic Bar,Northeast,124,2.73,338.52,227.73,110.79,0.3273,55+,Prefer not to say
2025-01-31,Good Humor Classic Bar,Midwest,42,2.77,116.34,86.36,29.98,0.2577,<18,Male
2025-01-31,Good Humor Classic Bar,Midwest,54,2.77,149.58,111.03,38.55,0.2577,<18,Female
2025-01-31,Good Humor Classic Bar,Midwest,93,2.77,257.61,191.23,66.38,0.2577,<18,Non-binary
2025-01-31,Good Humor Classic Bar,Midwest,88,2.77,243.76,180.94,62.82,0.2577,<18,Prefer not to say
2025-01-31,Good Humor Classic Bar,Midwest,18,2.77,49.86,37.01,12.85,0.2577,18-34,Male
2025-01-31,Good Humor Classic Bar,Midwest,24,2.77,66.48,49.35,17.13,0.2577,18-34,Female
2025-01-31,Good Humor Classic Bar,Midwest,41,2.77,113.57,84.3,29.27,0.2577,18-34,Non-binary
2025-01-31,Good Humor Classic Bar,Midwest,39,2.77,108.03,80.19,27.84,0.2577,18-34,Prefer not to say
2025-01-31,Good Humor Classic Bar,Midwest,96,2.77,265.92,197.39,68.53,0.2577,35-54,Male
2025-01-31,Good Humor Classic Bar,Midwest,125,2.77,346.25,257.02,89.23,0.2577,35-54,Female
2025-01-31,Good Humor Classic Bar,Midwest,215,2.77,595.55,442.08,153.47,0.2577,35-54,Non-binary
2025-01-31,Good Humor Classic Bar,Midwest,203,2.77,562.31,417.41,144.9,0.2577,35-54,Prefer not to say
2025-01-31,Good Humor Classic Bar,Midwest,28,2.77,77.56,57.57,19.99,0.2577,55+,Male
2025-01-31,Good Humor Classic Bar,Midwest,37,2.77,102.49,76.08,26.41,0.2577,55+,Female
2025-01-31,Good Humor Classic Bar,Midwest,64,2.77,177.28,131.6,45.68,0.2577,55+,Non-binary
2025-01-31,Good Humor Classic Bar,Midwest,60,2.77,166.2,123.37,42.83,0.2577,55+,Prefer not to say
2025-01-31,Good Humor Classic Bar,South,288,1.7,489.6,311.65,177.95,0.3635,<18,Male
2025-01-31,Good Humor Classic Bar,South,31,1.7,52.7,33.55,19.15,0.3635,<18,Female
2025-01-31,Good Humor Classic Bar,South,7,1.7,11.9,7.57,4.33,0.3635,<18,Non-binary
2025-01-31,Good Humor Classic Bar,South,24,1.7,40.8,25.97,14.83,0.3635,<18,Prefer not to say
2025-01-31,Good Humor Classic Bar,South,228,1.7,387.6,246.72,140.88,0.3635,18-34,Male
2025-01-31,Good Humor Classic Bar,South,25,1.7,42.5,27.05,15.45,0.3635,18-34,Female
2025-01-31,Good Humor Classic Bar,South,6,1.7,10.2,6.49,3.71,0.3635,18-34,Non-binary
2025-01-31,Good Humor Classic Bar,South,19,1.7,32.3,20.56,11.74,0.3635,18-34,Prefer not to say
2025-01-31,Good Humor Classic Bar,South,388,1.7,659.6,419.86,239.74,0.3635,35-54,Male
2025-01-31,Good Humor Classic Bar,South,42,1.7,71.4,45.45,25.95,0.3635,35-54,Female
2025-01-31,Good Humor Classic Bar,South,10,1.7,17.0,10.82,6.18,0.3635,35-54,Non-binary
2025-01-31,Good Humor Classic Bar,South,33,1.7,56.1,35.71,20.39,0.3635,35-54,Prefer not to say
2025-01-31,Good Humor Classic Bar,South,653,1.7,1110.1,706.63,403.47,0.3635,55+,Male
2025-01-31,Good Humor Classic Bar,South,70,1.7,119.0,75.75,43.25,0.3635,55+,Female
2025-01-31,Good Humor Classic Bar,South,17,1.7,28.9,18.4,10.5,0.3635,55+,Non-binary
2025-01-31,Good Humor Classic Bar,South,55,1.7,93.5,59.52,33.98,0.3635,55+,Prefer not to say
2025-01-31,Good Humor Classic Bar,West,43,2.37,101.91,67.01,34.9,0.3425,<18,Male
2025-01-31,Good Humor Classic Bar,West,51,2.37,120.87,79.48,41.39,0.3425,<18,Female
2025-01-31,Good Humor Classic Bar,West,131,2.37,310.47,204.14,106.33,0.3425,<18,Non-binary
2025-01-31,Good Humor Classic Bar,West,53,2.37,125.61,82.59,43.02,0.3425,<18,Prefer not to say
2025-01-31,Good Humor Classic Bar,West,67,2.37,158.79,104.41,54.38,0.3425,18-34,Male
2025-01-31,Good Humor Classic Bar,West,79,2.37,187.23,123.11,64.12,0.3425,18-34,Female
2025-01-31,Good Humor Classic Bar,West,205,2.37,485.85,319.46,166.39,0.3425,18-34,Non-binary
2025-01-31,Good Humor Classic Bar,West,83,2.37,196.71,129.34,67.37,0.3425,18-34,Prefer not to say
2025-01-31,Good Humor Classic Bar,West,85,2.37,201.45,132.46,68.99,0.3425,35-54,Male
2025-01-31,Good Humor Classic Bar,West,101,2.37,239.37,157.39,81.98,0.3425,35-54,Female
2025-01-31,Good Humor Classic Bar,West,259,2.37,613.83,403.61,210.22,0.3425,35-54,Non-binary
2025-01-31,Good Humor Classic Bar,West,105,2.37,248.85,163.63,85.22,0.3425,35-54,Prefer not to say
2025-01-31,Good Humor Classic Bar,West,1,2.37,2.37,1.56,0.81,0.3425,55+,Male
2025-01-31,Good Humor Classic Bar,West,2,2.37,4.74,3.12,1.62,0.3425,55+,Female
2025-01-31,Good Humor Classic Bar,West,4,2.37,9.48,6.23,3.25,0.3425,55+,Non-binary
2025-01-31,Good Humor Classic Bar,West,2,2.37,4.74,3.12,1.62,0.3425,55+,Prefer not to say
2025-01-31,Good Humor Strawberry Shortcake Bar,Northeast,11,2.83,31.13,23.37,7.76,0.2492,<18,Male
2025-01-31,Good Humor Strawberry Shortcake Bar,Northeast,2,2.83,5.66,4.25,1.41,0.2492,<18,Female
2025-01-31,Good Humor Strawberry Shortcake Bar,Northeast,27,2.83,76.41,57.37,19.04,0.2492,<18,Prefer not to say
2025-01-31,Good Humor Strawberry Shortcake Bar,Northeast,191,2.83,540.53,405.83,134.7,0.2492,18-34,Male
2025-01-31,Good Humor Strawberry Shortcake Bar,Northeast,36,2.83,101.88,76.49,25.39,0.2492,18-34,Female
2025-01-31,Good Humor Strawberry Shortcake Bar,Northeast,489,2.83,1383.87,1039.0,344.87,0.2492,18-34,Prefer not to say
