store_id,week_start,weekly_sales,profit_margin_pct,weekly_profit,age_group,income_level,loyalty_level,state
PA_S001,2024-07-08,28582.27205883663,0.1541374956275418,4405.599834494141,55+,Low,VIP,PA
MO_S001,2024-10-21,19531.29683356189,0.16561505649230923,3234.6768284584127,18-34,Middle,Occasional,MO
PA_S002,2024-10-14,21012.976992923723,0.1627830939295019,3420.557407577565,18-34,Low,VIP,PA
GA_S001,2024-08-19,25143.85778039104,0.15121842260896598,3802.2145118549097,55+,High,Regular,GA
MD_S004,2024-03-11,21778.258583225397,0.19297758354675887,4202.715715247297,18-34,Middle,None,MD
IN_S002,2023-07-17,13792.469652562666,0.16748042439045557,2309.9686708036747,<18,Middle,Regular,IN
IN_S002,2024-09-16,9491.871813611799,0.136479629505068,1295.4471484313362,35-54,Middle,Regular,IN
NV_S001,2024-09-09,19465.612813931744,0.13665992796903284,2660.169245024995,55+,Middle,Occasional,NV
AZ_S001,2023-03-06,10229.928352785993,0.1332574094958998,1363.2137516209186,<18,Middle,None,AZ
NJ_S001,2024-09-23,19330.818244837086,0.16896362841683432,3266.205190914015,18-34,Middle,VIP,NJ
MS_S003,2023-05-22,14674.4251786954,0.1313175731999428,1927.009902570417,35-54,Low,VIP,MS
VA_S001,2024-06-03,37185.154351253106,0.13725302732391578,5103.775006216569,35-54,High,Regular,VA
MI_S002,2023-03-06,25388.34299029929,0.18174067164347438,4614.094506971887,<18,High,None,MI
TX_S001,2023-11-27,8395.820180406472,0.15574895886202167,1307.640251891059,<18,Middle,None,TX
NV_S003,2023-12-25,22771.682906672602,0.18595597881363563,4234.530584144039,55+,High,None,NV
OH_S002,2023-03-20,13663.82895238342,0.17394179620057026,2376.710950954928,18-34,High,VIP,OH
MN_S001,2024-04-08,22349.358567126066,0.1146998451278981,2563.4679663572224,<18,High,Regular,MN
PA_S002,2024-02-05,21375.071000653836,0.14693600825277894,3140.7676089558076,18-34,Low,Regular,PA
AR_S001,2024-01-01,47928.65618907166,0.17969847119905627,8612.706243801364,<18,Low,Occasional,AR
NE_S001,2023-11-13,30628.36522525516,0.11333471804546962,3471.2571369979596,18-34,Low,Regular,NE
AZ_S001,2024-12-02,24295.74690418229,0.16259132461076028,3950.277671558777,35-54,Middle,None,AZ
VA_S004,2024-01-29,15979.537788835554,0.14882290578903767,2378.121246900241,55+,High,None,VA
IL_S002,2024-09-16,21334.263461450602,0.09735633773632839,2077.025758908795,<18,High,VIP,IL
LA_S001,2024-04-22,13657.825867889638,0.153589779135568,2097.702458521217,35-54,High,Occasional,LA
IL_S002,2024-12-02,29914.41810362546,0.124875959516204,3735.591664059133,35-54,Low,None,IL
OH_S002,2024-11-18,18632.254472481465,0.11497044653650722,2142.158616683028,18-34,Low,Regular,OH
MS_S002,2023-08-14,23673.10459698513,0.150274220274679,3557.457334792859,<18,High,Occasional,MS
MI_S001,2023-08-14,30567.767642991177,0.0920744118224098,2814.509226452503,35-54,Middle,VIP,MI
MD_S003,2024-01-08,29040.054895398407,0.12977129122245354,3768.5654209467843,<18,Low,Occasional,MD
TX_S001,2024-09-02,10239.478185832939,0.22653522757507943,2319.602521077726,35-54,High,Regular,TX
MD_S004,2024-12-02,25531.19270131303,0.1695066718022083,4327.707501940404,18-34,Low,None,MD
PA_S006,2024-07-08,35997.3420710552,0.1235572528149794,4447.7326949406615,<18,High,VIP,PA
NJ_S002,2023-06-26,18555.156300616167,0.1921249782030119,3564.9089998093596,<18,Low,Occasional,NJ
FL_S001,2023-09-25,22457.48408388058,0.12023869317668598,2700.2585382820257,<18,High,None,FL
LA_S002,2024-05-27,20716.5527308738,0.13338914540593583,2763.363264528262,35-54,Middle,VIP,LA
NJ_S001,2023-11-13,19925.313342331025,0.11553445770212135,2302.060271551058,55+,Low,Regular,NJ
DE_S002,2024-06-24,29902.68544475333,0.15768239635998063,4715.127098527419,18-34,High,Occasional,DE
PA_S006,2024-12-09,30490.62452762125,0.19105888866291384,5825.504836885499,<18,Middle,VIP,PA
FL_S001,2024-04-08,15918.157747556392,0.12002981302320431,1910.6534981130649,35-54,High,None,FL
NJ_S002,2024-11-25,19391.255908787673,0.08818670887772732,1710.0510396017683,55+,Low,Regular,NJ
VA_S001,2024-12-30,36411.48521647438,0.18272900023558258,6653.434290699059,35-54,High,VIP,VA
MI_S001,2023-02-20,23361.80112175223,0.1966140150326304,4593.257516941515,<18,Middle,Regular,MI
IN_S001,2024-03-04,18943.36798172664,0.09014758600755801,1707.6988944055227,55+,Middle,Occasional,IN
UT_S001,2024-05-27,10419.293363712488,0.1638016302433933,1706.6972389602747,55+,Middle,Regular,UT
IL_S003,2024-01-22,21687.179564849717,0.15679516056345866,3400.444802039171,<18,Middle,None,IL
OH_S003,2024-05-13,19543.678159773182,0.12637574085336736,2469.8468064411113,18-34,High,None,OH
PA_S005,2023-12-25,14206.249091394506,0.10816932999992301,1536.6804460281587,<18,High,Regular,PA
KS_S001,2024-07-15,21686.054279282664,0.17975251036339668,3898.1226965779397,<18,Middle,VIP,KS
NJ_S001,2024-04-01,17003.02662310946,0.15537211594371583,2641.7962238798505,55+,Middle,VIP,NJ
MI_S001,2024-08-05,32342.991018517645,0.15763279372280162,5098.316031600418,18-34,High,VIP,MI
MD_S003,2023-08-28,29118.459390905573,0.13134691941500395,3824.6199391063396,35-54,Low,None,MD
PA_S002,2023-07-24,31919.80239545245,0.12594272386650127,4020.0668589637535,18-34,Low,None,PA
TN_S001,2024-02-12,14862.767912761603,0.07635079376178162,1134.7841276364866,<18,High,Occasional,TN
KY_S001,2023-06-19,26309.694291334297,0.14315915910645363,3766.4737110952815,18-34,High,Occasional,KY
IL_S002,2023-07-10,28433.83372827383,0.1931647913836267,5492.415560358742,18-34,Low,VIP,IL
VA_S004,2023-11-27,11238.46200707015,0.12329236739854038,1385.6165867702305,<18,Low,Regular,VA
PA_S004,2024-06-10,12748.445782669554,0.1043275591719978,1330.0142317424638,35-54,High,VIP,PA
GA_S001,2024-12-02,18609.672118969134,0.16306993699371006,3034.6780599138997,55+,High,Occasional,GA
TN_S001,2024-01-15,17085.950495473466,0.16860239995339008,2880.7322590216404,<18,High,Occasional,TN
MS_S003,2024-03-11,17046.100805834252,0.13242282117956472,2257.292758819823,35-54,Middle,None,MS
UT_S002,2024-06-17,19748.537142472123,0.13953706605901076,2755.65293181796,<18,Middle,Regular,UT
LA_S002,2023-05-08,15383.849049297189,0.15791709351656275,2429.372728962549,35-54,Middle,Occasional,LA
TX_S001,2024-04-15,11891.76276204714,0.1453335159411202,1728.2716929459975,55+,Middle,VIP,TX
NJ_S002,2024-08-26,25342.434482732835,0.18000388007261944,4561.736537378057,55+,High,Regular,NJ
NE_S001,2023-09-18,25510.2805141877,0.22311727727772657,5691.784330916602,35-54,High,VIP,NE
AL_S001,2024-03-04,22026.130096798905,0.09872509334428632,2174.531749819866,35-54,Low,Regular,AL
IN_S002,2024-01-15,11167.291692024446,0.1868926539167394,2087.084781384804,<18,High,Occasional,IN
OK_S001,2023-01-02,22436.51800776887,0.1531577910307,3436.3275364904025,55+,High,None,OK
OH_S001,2024-07-29,16627.789794375534,0.19164602816562484,3186.649871264983,18-34,High,Occasional,OH
